t,y,y_diff
0.01470839461831091,-1324,35.0
0.01472922803845016,-1353,-29.0
0.014750061458589411,-1459,-106.0
0.014770894878728662,-1589,-130.0
0.014791728298867912,-1694,-105.0
0.014812561719007163,-1740,-46.0
0.014833395139146414,-1668,72.0
0.014854228559285663,-1465,203.0
0.014875061979424915,-1245,220.0
0.014895895399564166,-1140,105.0
0.014916728819703415,-1125,15.0
0.014937562239842666,-1077,48.0
0.014958395659981917,-992,85.0
0.014979229080121169,-1001,-9.0
0.015000062500260418,-1130,-129.0
0.015020895920399669,-1247,-117.0
0.01504172934053892,-1251,-4.0
0.01506256276067817,-1134,117.0
0.01508339618081742,-959,175.0
0.015104229600956672,-881,78.0
0.015125063021095921,-973,-92.0
0.015145896441235172,-1073,-100.0
0.015166729861374423,-1035,38.0
0.015187563281513673,-885,150.0
0.015208396701652924,-670,215.0
0.015229230121792175,-476,194.0
0.015250063541931425,-457,19.0
0.015270896962070676,-562,-105.0
0.015291730382209927,-568,-6.0
0.015312563802349176,-445,123.0
0.015333397222488427,-320,125.0
0.015354230642627678,-230,90.0
0.015375064062766928,-161,69.0
0.015395897482906179,-122,39.0
0.01541673090304543,-93,29.0
0.015437564323184681,1,94.0
0.01545839774332393,171,170.0
0.015479231163463182,253,82.0
0.015500064583602433,132,-121.0
0.015520898003741682,24,-108.0
0.015541731423880933,132,108.0
0.015562564844020185,279,147.0
0.015583398264159434,289,10.0
0.015604231684298685,281,-8.0
0.015625065104437934,340,59.0
0.015645898524577186,398,58.0
0.015666731944716437,406,8.0
0.015687565364855688,345,-61.0
0.01570839878499494,272,-73.0
0.01572923220513419,314,42.0
0.015750065625273438,429,115.0
0.01577089904541269,434,5.0
0.01579173246555194,278,-156.0
0.01581256588569119,26,-252.0
0.015833399305830442,-200,-226.0
0.015854232725969693,-257,-57.0
0.01587506614610894,-163,94.0
0.015895899566248192,-44,119.0
0.015916732986387443,109,153.0
0.015937566406526694,300,191.0
0.015958399826665946,405,105.0
0.015979233246805197,397,-8.0
0.016000066666944444,369,-28.0
0.016020900087083696,375,6.0
0.016041733507222947,437,62.0
0.016062566927362198,546,109.0
0.01608340034750145,653,107.0
0.0161042337676407,765,112.0
0.01612506718777995,899,134.0
0.0161459006079192,1000,101.0
0.01616673402805845,1038,38.0
0.0161875674481977,1025,-13.0
0.016208400868336952,971,-54.0
0.016229234288476203,917,-54.0
0.016250067708615454,914,-3.0
0.016270901128754702,986,72.0
0.016291734548893953,1108,122.0
0.016312567969033204,1170,62.0
0.016333401389172456,1140,-30.0
0.016354234809311707,1180,40.0
0.016375068229450958,1302,122.0
0.016395901649590205,1263,-39.0
0.016416735069729457,1040,-223.0
0.016437568489868708,884,-156.0
0.01645840191000796,861,-23.0
0.01647923533014721,871,10.0
0.01650006875028646,915,44.0
0.016520902170425712,981,66.0
0.01654173559056496,1025,44.0
0.01656256901070421,1135,110.0
0.016583402430843462,1409,274.0
0.016604235850982713,1729,320.0
0.016625069271121964,1901,172.0
0.016645902691261216,1910,9.0
0.016666736111400463,1887,-23.0
0.016687569531539714,1931,44.0
0.016708402951678965,2036,105.0
0.016729236371818217,2110,74.0
0.016750069791957468,2071,-39.0
0.01677090321209672,2045,-26.0
0.016791736632235967,2218,173.0
0.016812570052375218,2467,249.0
0.01683340347251447,2590,123.0
0.01685423689265372,2689,99.0
0.01687507031279297,2815,126.0
0.016895903732932222,2781,-34.0
0.016916737153071473,2654,-127.0
0.01693757057321072,2663,9.0
0.016958403993349972,2723,60.0
0.016979237413489223,2704,-19.0
0.017000070833628474,2709,5.0
0.017020904253767725,2756,47.0
0.017041737673906977,2749,-7.0
0.017062571094046224,2736,-13.0
0.017083404514185475,2819,83.0
0.017104237934324727,3017,198.0
0.017125071354463978,3221,204.0
0.01714590477460323,3223,2.0
0.01716673819474248,3012,-211.0
0.017187571614881728,2791,-221.0
0.01720840503502098,2640,-151.0
0.01722923845516023,2536,-104.0
0.01725007187529948,2525,-11.0
0.017270905295438732,2578,53.0
